"Date","Price","Open","High","Low","Change %"
"Aug 14, 2017","109.64","109.06","109.81","109.03","0.41%"
"Aug 11, 2017","109.19","109.22","109.44","108.77","-0.03%"
"Aug 10, 2017","109.22","110.08","110.19","109.14","-0.78%"
"Aug 09, 2017","110.08","110.31","110.39","109.56","-0.21%"
"Aug 08, 2017","110.31","110.73","110.83","110.23","-0.40%"
"Aug 07, 2017","110.75","110.61","110.92","110.61","0.05%"
"Aug 04, 2017","110.69","110.03","111.06","109.83","0.58%"
"Aug 03, 2017","110.05","110.72","110.84","109.86","-0.61%"
"Aug 02, 2017","110.73","110.36","111.00","110.28","0.34%"
"Aug 01, 2017","110.36","110.25","110.59","109.92","0.10%"
"Jul 31, 2017","110.25","110.64","110.78","110.19","-0.38%"
"Jul 28, 2017","110.67","111.28","111.34","110.55","-0.52%"
"Jul 27, 2017","111.25","111.18","111.73","110.78","0.07%"
"Jul 26, 2017","111.17","111.89","112.20","111.06","-0.64%"
"Jul 25, 2017","111.89","111.08","111.96","110.81","0.70%"
"Jul 24, 2017","111.11","111.06","111.31","110.61","-0.01%"
"Jul 21, 2017","111.12","111.92","112.09","111.00","-0.71%"
"Jul 20, 2017","111.91","111.98","112.43","111.48","-0.05%"
"Jul 19, 2017","111.97","112.08","112.25","111.56","-0.10%"
"Jul 18, 2017","112.08","112.62","112.72","111.67","-0.50%"
"Jul 17, 2017","112.64","112.50","112.88","112.31","0.10%"
"Jul 14, 2017","112.53","113.29","113.60","112.27","-0.66%"
"Jul 13, 2017","113.28","113.16","113.53","112.86","0.11%"
"Jul 12, 2017","113.16","113.94","113.98","112.92","-0.68%"
"Jul 11, 2017","113.94","114.05","114.51","113.72","-0.09%"
"Jul 10, 2017","114.04","113.97","114.30","113.85","0.13%"
"Jul 07, 2017","113.89","113.19","114.19","113.08","0.59%"
"Jul 06, 2017","113.22","113.27","113.48","112.89","-0.04%"
"Jul 05, 2017","113.27","113.28","113.69","112.81","-0.01%"
"Jul 04, 2017","113.28","113.38","113.48","112.73","-0.10%"
"Jul 03, 2017","113.39","112.14","113.48","111.94","0.90%"
"Jun 30, 2017","112.38","112.19","112.62","111.74","0.18%"
"Jun 29, 2017","112.18","112.31","112.94","111.81","-0.11%"
"Jun 28, 2017","112.30","112.36","112.43","111.83","-0.05%"
"Jun 27, 2017","112.36","111.88","112.47","111.45","0.46%"
"Jun 26, 2017","111.84","111.11","111.94","111.11","0.49%"
"Jun 23, 2017","111.29","111.35","111.45","111.16","-0.04%"
"Jun 22, 2017","111.33","111.35","111.45","110.93","-0.04%"
"Jun 21, 2017","111.38","111.45","111.73","111.05","-0.05%"
"Jun 20, 2017","111.44","111.53","111.81","111.31","-0.08%"
"Jun 19, 2017","111.53","110.83","111.61","110.75","0.60%"
"Jun 16, 2017","110.86","110.92","111.44","110.64","-0.07%"
"Jun 15, 2017","110.94","109.56","111.00","109.28","1.24%"
"Jun 14, 2017","109.58","110.06","110.36","108.83","-0.45%"
"Jun 13, 2017","110.07","109.95","110.28","109.82","0.12%"
"Jun 12, 2017","109.94","110.36","110.44","109.61","-0.36%"
"Jun 09, 2017","110.34","110.00","110.81","109.75","0.31%"
"Jun 08, 2017","110.00","109.83","110.42","109.39","0.17%"
"Jun 07, 2017","109.81","109.44","109.91","109.11","0.37%"
"Jun 06, 2017","109.41","110.44","110.52","109.20","-0.96%"
"Jun 05, 2017","110.47","110.36","110.73","110.25","0.05%"
"Jun 02, 2017","110.42","111.34","111.72","110.31","-0.84%"
"Jun 01, 2017","111.36","110.77","111.48","110.67","0.52%"
"May 31, 2017","110.78","110.86","111.25","110.47","-0.06%"
"May 30, 2017","110.85","111.27","111.35","110.67","-0.37%"
"May 29, 2017","111.26","111.32","111.48","111.16","-0.07%"
"May 26, 2017","111.34","111.86","111.89","110.89","-0.44%"
"May 25, 2017","111.83","111.48","111.95","111.47","0.30%"
"May 24, 2017","111.50","111.76","112.12","111.46","-0.25%"
"May 23, 2017","111.78","111.31","111.86","110.86","0.43%"
"May 22, 2017","111.30","111.33","111.62","110.89","0.02%"
"May 19, 2017","111.28","111.48","111.70","111.03","-0.20%"
"May 18, 2017","111.50","110.83","111.73","110.23","0.61%"
"May 17, 2017","110.82","113.13","113.14","110.78","-2.03%"
"May 16, 2017","113.12","113.78","113.80","112.91","-0.58%"
"May 15, 2017","113.78","113.19","113.86","113.11","0.39%"
"May 12, 2017","113.34","113.86","113.97","113.19","-0.46%"
"May 11, 2017","113.86","114.31","114.39","113.47","-0.37%"
